,short_position,GKDiving,Composure,Finishing,Vision,Strength,Stamina,Jumping,ShotPower,Reactions,Agility,Dribbling,HeadingAccuracy
33,midfield,6.0,86.0,88.0,77.0,76.0,76.0,79.0,82.0,87.0,76.0,79.0,79.0
34,back,15.0,91.0,55.0,79.0,84.0,66.0,68.0,71.0,87.0,63.0,68.0,87.0
35,back,12.0,86.0,70.0,82.0,78.0,91.0,76.0,83.0,88.0,86.0,90.0,75.0
36,front,15.0,86.0,86.0,79.0,80.0,75.0,87.0,92.0,85.0,82.0,87.0,84.0
37,goalkeeper,88.0,65.0,10.0,30.0,43.0,41.0,74.0,23.0,85.0,55.0,10.0,10.0
38,front,5.0,86.0,92.0,74.0,85.0,70.0,79.0,86.0,86.0,75.0,84.0,80.0
39,back,9.0,81.0,38.0,72.0,82.0,74.0,90.0,71.0,82.0,68.0,62.0,81.0
40,goalkeeper,87.0,69.0,10.0,41.0,71.0,41.0,78.0,22.0,83.0,47.0,12.0,10.0
41,goalkeeper,88.0,70.0,15.0,50.0,69.0,39.0,75.0,39.0,79.0,55.0,26.0,13.0
42,back,15.0,82.0,51.0,58.0,84.0,78.0,89.0,83.0,82.0,68.0,69.0,79.0
43,front,13.0,85.0,91.0,64.0,76.0,72.0,94.0,84.0,88.0,76.0,77.0,91.0
44,back,7.0,78.0,19.0,43.0,94.0,71.0,81.0,55.0,80.0,50.0,66.0,81.0
45,midfield,5.0,87.0,73.0,87.0,89.0,88.0,83.0,90.0,81.0,74.0,87.0,73.0
46,goalkeeper,90.0,67.0,15.0,68.0,75.0,39.0,74.0,21.0,84.0,60.0,16.0,11.0
47,front,8.0,83.0,87.0,76.0,94.0,84.0,71.0,88.0,86.0,60.0,80.0,86.0
48,front,6.0,81.0,90.0,65.0,76.0,80.0,77.0,86.0,87.0,77.0,83.0,81.0
49,back,13.0,79.0,73.0,70.0,61.0,91.0,81.0,64.0,83.0,90.0,80.0,70.0
50,front,7.0,81.0,86.0,83.0,42.0,75.0,60.0,80.0,88.0,94.0,91.0,35.0
51,back,6.0,83.0,56.0,68.0,79.0,75.0,85.0,80.0,84.0,61.0,71.0,80.0
52,midfield,8.0,84.0,79.0,86.0,67.0,84.0,71.0,82.0,88.0,76.0,86.0,74.0
53,midfield,14.0,81.0,83.0,86.0,66.0,84.0,39.0,84.0,77.0,72.0,84.0,58.0
54,back,10.0,86.0,64.0,62.0,83.0,65.0,74.0,62.0,84.0,58.0,59.0,83.0
55,midfield,8.0,78.0,81.0,82.0,70.0,79.0,64.0,86.0,81.0,88.0,88.0,72.0
56,midfield,9.0,85.0,75.0,86.0,48.0,78.0,50.0,70.0,82.0,90.0,92.0,51.0
57,goalkeeper,85.0,70.0,14.0,67.0,68.0,41.0,58.0,42.0,86.0,60.0,23.0,14.0
58,midfield,10.0,80.0,84.0,82.0,67.0,84.0,75.0,82.0,86.0,91.0,87.0,62.0
59,back,13.0,83.0,52.0,59.0,92.0,71.0,85.0,81.0,85.0,61.0,70.0,82.0
60,midfield,15.0,77.0,77.0,77.0,52.0,78.0,57.0,73.0,87.0,93.0,88.0,38.0
61,midfield,8.0,87.0,87.0,85.0,74.0,90.0,81.0,81.0,86.0,80.0,87.0,77.0
62,back,11.0,82.0,40.0,56.0,84.0,73.0,79.0,52.0,83.0,63.0,57.0,83.0
63,midfield,12.0,93.0,60.0,87.0,52.0,77.0,64.0,56.0,85.0,87.0,90.0,55.0
64,back,7.0,82.0,55.0,70.0,79.0,92.0,79.0,80.0,84.0,79.0,80.0,76.0
65,midfield,13.0,84.0,67.0,84.0,63.0,78.0,61.0,86.0,84.0,93.0,92.0,50.0
66,midfield,6.0,83.0,87.0,85.0,68.0,87.0,81.0,78.0,91.0,75.0,75.0,82.0
67,midfield,6.0,85.0,69.0,86.0,59.0,75.0,75.0,75.0,84.0,90.0,90.0,54.0
68,midfield,12.0,84.0,87.0,86.0,67.0,73.0,70.0,88.0,87.0,86.0,87.0,49.0
69,back,13.0,78.0,46.0,74.0,71.0,87.0,76.0,68.0,88.0,72.0,69.0,76.0
70,back,2.0,86.0,48.0,74.0,83.0,71.0,85.0,74.0,84.0,60.0,69.0,86.0
71,back,16.0,81.0,45.0,67.0,79.0,74.0,84.0,78.0,86.0,60.0,62.0,82.0
72,midfield,7.0,86.0,60.0,88.0,66.0,78.0,61.0,78.0,84.0,77.0,86.0,60.0
73,back,7.0,82.0,47.0,47.0,91.0,69.0,85.0,66.0,82.0,59.0,64.0,83.0
74,midfield,6.0,82.0,73.0,91.0,57.0,69.0,48.0,70.0,84.0,79.0,84.0,54.0
75,midfield,12.0,79.0,69.0,75.0,76.0,79.0,76.0,83.0,86.0,72.0,77.0,63.0
76,front,6.0,89.0,70.0,93.0,58.0,55.0,47.0,65.0,86.0,79.0,90.0,54.0
77,back,10.0,80.0,42.0,57.0,83.0,77.0,78.0,50.0,81.0,48.0,59.0,80.0
78,midfield,7.0,82.0,80.0,85.0,88.0,85.0,85.0,83.0,80.0,66.0,86.0,86.0
79,midfield,13.0,83.0,82.0,84.0,61.0,76.0,58.0,86.0,82.0,79.0,86.0,50.0
80,midfield,15.0,89.0,82.0,81.0,82.0,80.0,69.0,84.0,80.0,90.0,90.0,49.0
81,goalkeeper,83.0,65.0,13.0,66.0,78.0,32.0,52.0,21.0,84.0,40.0,27.0,19.0
82,midfield,8.0,82.0,66.0,79.0,65.0,85.0,79.0,75.0,85.0,84.0,80.0,74.0
83,midfield,7.0,83.0,78.0,82.0,77.0,86.0,79.0,78.0,82.0,76.0,83.0,83.0
84,midfield,15.0,86.0,80.0,81.0,54.0,76.0,61.0,79.0,77.0,93.0,91.0,48.0
85,back,5.0,79.0,63.0,77.0,71.0,87.0,82.0,83.0,84.0,79.0,79.0,75.0
86,midfield,14.0,78.0,72.0,87.0,79.0,90.0,61.0,84.0,85.0,74.0,82.0,61.0
87,front,11.0,85.0,88.0,76.0,73.0,79.0,76.0,83.0,85.0,85.0,85.0,73.0
88,back,8.0,79.0,10.0,22.0,82.0,76.0,86.0,40.0,85.0,68.0,54.0,80.0
89,back,12.0,80.0,54.0,53.0,80.0,67.0,92.0,69.0,79.0,64.0,51.0,85.0
90,midfield,5.0,78.0,79.0,86.0,72.0,78.0,51.0,78.0,78.0,66.0,78.0,61.0
91,midfield,16.0,80.0,81.0,78.0,81.0,92.0,90.0,83.0,84.0,69.0,82.0,85.0
92,goalkeeper,85.0,65.0,12.0,48.0,65.0,45.0,71.0,15.0,82.0,55.0,11.0,16.0
93,midfield,10.0,84.0,80.0,82.0,72.0,83.0,87.0,84.0,83.0,90.0,87.0,73.0
94,midfield,13.0,90.0,76.0,79.0,49.0,85.0,72.0,69.0,84.0,92.0,93.0,46.0
95,back,7.0,84.0,34.0,75.0,91.0,69.0,74.0,78.0,82.0,56.0,64.0,85.0
96,midfield,4.0,81.0,75.0,80.0,79.0,83.0,85.0,86.0,84.0,74.0,76.0,82.0
97,midfield,6.0,80.0,79.0,79.0,78.0,89.0,84.0,84.0,81.0,78.0,84.0,80.0
98,front,9.0,83.0,89.0,74.0,80.0,76.0,66.0,86.0,83.0,57.0,76.0,84.0
99,midfield,11.0,84.0,72.0,82.0,87.0,78.0,68.0,82.0,87.0,55.0,81.0,76.0
100,front,11.0,83.0,87.0,74.0,92.0,76.0,64.0,83.0,85.0,58.0,77.0,82.0
101,midfield,11.0,84.0,75.0,76.0,77.0,93.0,76.0,84.0,87.0,76.0,80.0,59.0
102,back,14.0,84.0,57.0,59.0,83.0,61.0,45.0,92.0,85.0,46.0,60.0,94.0
103,midfield,8.0,82.0,64.0,76.0,76.0,94.0,84.0,78.0,84.0,83.0,78.0,68.0
104,back,12.0,81.0,43.0,58.0,79.0,65.0,82.0,70.0,81.0,61.0,67.0,80.0
105,front,13.0,79.0,81.0,85.0,80.0,75.0,73.0,81.0,83.0,76.0,83.0,80.0
106,back,11.0,88.0,59.0,70.0,74.0,89.0,71.0,71.0,85.0,75.0,77.0,72.0
107,back,10.0,81.0,45.0,59.0,87.0,66.0,72.0,75.0,87.0,57.0,63.0,84.0
108,back,8.0,79.0,46.0,48.0,86.0,60.0,76.0,63.0,83.0,63.0,58.0,80.0
109,front,13.0,90.0,86.0,79.0,86.0,61.0,68.0,90.0,82.0,75.0,79.0,83.0
110,back,9.0,75.0,40.0,49.0,83.0,76.0,73.0,66.0,80.0,60.0,63.0,80.0
111,back,9.0,73.0,37.0,27.0,85.0,67.0,92.0,72.0,76.0,56.0,47.0,81.0
112,back,13.0,80.0,65.0,74.0,68.0,92.0,81.0,80.0,83.0,73.0,82.0,74.0
113,back,10.0,77.0,45.0,57.0,82.0,67.0,75.0,68.0,83.0,45.0,59.0,85.0
114,midfield,12.0,83.0,73.0,86.0,67.0,89.0,72.0,87.0,84.0,77.0,83.0,58.0
115,back,15.0,72.0,20.0,30.0,94.0,65.0,38.0,77.0,79.0,33.0,42.0,86.0
116,midfield,9.0,79.0,84.0,73.0,75.0,75.0,74.0,84.0,81.0,85.0,87.0,69.0
117,midfield,7.0,86.0,83.0,85.0,71.0,90.0,67.0,78.0,85.0,76.0,83.0,77.0
118,midfield,13.0,84.0,66.0,75.0,79.0,92.0,75.0,78.0,83.0,69.0,76.0,75.0
119,midfield,6.0,79.0,33.0,51.0,74.0,75.0,86.0,53.0,81.0,69.0,59.0,80.0
120,midfield,6.0,89.0,52.0,83.0,90.0,84.0,69.0,59.0,75.0,51.0,80.0,73.0
121,midfield,14.0,79.0,57.0,87.0,66.0,79.0,58.0,71.0,83.0,80.0,82.0,56.0
122,midfield,8.0,82.0,81.0,80.0,66.0,83.0,76.0,83.0,83.0,86.0,85.0,75.0
123,back,13.0,77.0,41.0,57.0,74.0,84.0,76.0,64.0,82.0,81.0,76.0,70.0
124,front,8.0,79.0,79.0,82.0,80.0,79.0,74.0,87.0,79.0,82.0,85.0,65.0
125,midfield,11.0,82.0,85.0,80.0,63.0,85.0,63.0,86.0,84.0,82.0,88.0,65.0
126,goalkeeper,86.0,65.0,18.0,48.0,73.0,36.0,82.0,20.0,84.0,67.0,15.0,16.0
127,back,8.0,82.0,25.0,59.0,80.0,66.0,76.0,65.0,80.0,61.0,63.0,80.0
128,goalkeeper,81.0,65.0,11.0,44.0,52.0,30.0,75.0,23.0,79.0,70.0,19.0,12.0
129,midfield,5.0,80.0,67.0,76.0,61.0,78.0,75.0,84.0,80.0,91.0,90.0,58.0
130,front,12.0,85.0,88.0,75.0,60.0,75.0,68.0,79.0,85.0,87.0,86.0,78.0
131,goalkeeper,84.0,66.0,9.0,54.0,68.0,43.0,73.0,23.0,80.0,52.0,16.0,13.0
132,midfield,7.0,84.0,64.0,73.0,85.0,84.0,67.0,83.0,83.0,44.0,80.0,74.0
133,goalkeeper,85.0,48.0,11.0,53.0,55.0,34.0,69.0,14.0,83.0,43.0,10.0,11.0
134,midfield,15.0,79.0,72.0,86.0,68.0,77.0,63.0,69.0,84.0,71.0,78.0,51.0
135,back,12.0,75.0,51.0,69.0,75.0,89.0,83.0,86.0,83.0,67.0,79.0,74.0
136,midfield,11.0,87.0,73.0,86.0,72.0,69.0,61.0,77.0,85.0,78.0,85.0,50.0
137,midfield,8.0,79.0,78.0,78.0,55.0,91.0,73.0,78.0,82.0,85.0,82.0,65.0
138,midfield,10.0,82.0,72.0,82.0,60.0,73.0,72.0,83.0,80.0,92.0,86.0,51.0
139,front,10.0,80.0,84.0,74.0,85.0,83.0,85.0,80.0,86.0,67.0,76.0,90.0
140,midfield,14.0,79.0,77.0,83.0,60.0,85.0,41.0,79.0,82.0,89.0,88.0,31.0
141,goalkeeper,85.0,64.0,14.0,46.0,73.0,41.0,73.0,24.0,79.0,62.0,15.0,13.0
142,midfield,13.0,80.0,66.0,88.0,67.0,74.0,57.0,74.0,77.0,79.0,84.0,49.0
143,midfield,5.0,89.0,71.0,79.0,82.0,86.0,76.0,78.0,84.0,78.0,78.0,80.0
144,midfield,11.0,82.0,78.0,87.0,72.0,73.0,48.0,80.0,75.0,79.0,86.0,59.0
145,front,12.0,87.0,88.0,83.0,63.0,66.0,69.0,84.0,85.0,77.0,84.0,84.0
146,back,6.0,82.0,44.0,45.0,86.0,69.0,86.0,77.0,81.0,60.0,58.0,85.0
147,goalkeeper,82.0,66.0,11.0,49.0,76.0,37.0,72.0,21.0,78.0,51.0,12.0,12.0
148,front,10.0,87.0,86.0,70.0,75.0,68.0,91.0,79.0,85.0,76.0,75.0,89.0
149,goalkeeper,82.0,67.0,12.0,59.0,64.0,34.0,60.0,36.0,81.0,62.0,12.0,16.0
150,back,8.0,75.0,27.0,57.0,82.0,55.0,77.0,65.0,82.0,53.0,59.0,77.0
151,front,8.0,84.0,76.0,85.0,48.0,75.0,70.0,76.0,83.0,92.0,89.0,38.0
152,back,4.0,88.0,21.0,62.0,83.0,53.0,81.0,54.0,80.0,52.0,64.0,72.0
153,midfield,12.0,80.0,67.0,84.0,55.0,65.0,63.0,79.0,78.0,91.0,89.0,41.0
154,midfield,10.0,85.0,85.0,80.0,67.0,64.0,60.0,86.0,85.0,87.0,89.0,51.0
155,midfield,6.0,75.0,78.0,84.0,46.0,73.0,59.0,83.0,82.0,90.0,90.0,43.0
156,front,13.0,82.0,84.0,77.0,68.0,84.0,77.0,78.0,86.0,92.0,86.0,74.0
157,midfield,12.0,81.0,74.0,83.0,70.0,86.0,64.0,82.0,84.0,85.0,85.0,64.0
158,back,16.0,71.0,38.0,42.0,73.0,76.0,69.0,53.0,85.0,77.0,56.0,83.0
159,front,8.0,79.0,85.0,58.0,87.0,56.0,84.0,85.0,84.0,55.0,75.0,83.0
160,back,7.0,80.0,31.0,60.0,84.0,80.0,77.0,55.0,79.0,74.0,58.0,79.0
161,midfield,7.0,79.0,74.0,81.0,58.0,82.0,53.0,76.0,82.0,89.0,88.0,42.0
162,midfield,7.0,74.0,75.0,80.0,77.0,87.0,90.0,82.0,83.0,75.0,77.0,82.0
163,midfield,11.0,80.0,75.0,85.0,63.0,79.0,71.0,79.0,80.0,87.0,85.0,54.0
164,midfield,5.0,75.0,76.0,75.0,61.0,76.0,75.0,77.0,81.0,87.0,88.0,52.0
165,back,11.0,75.0,20.0,61.0,93.0,63.0,72.0,44.0,82.0,48.0,55.0,80.0
166,midfield,13.0,74.0,80.0,81.0,72.0,76.0,58.0,84.0,79.0,76.0,82.0,77.0
167,midfield,9.0,74.0,87.0,61.0,59.0,83.0,78.0,74.0,86.0,81.0,83.0,76.0
168,midfield,9.0,82.0,69.0,80.0,80.0,82.0,73.0,80.0,83.0,79.0,79.0,77.0
169,midfield,13.0,80.0,72.0,82.0,70.0,86.0,67.0,77.0,83.0,76.0,81.0,75.0
170,midfield,10.0,78.0,86.0,81.0,61.0,83.0,82.0,82.0,82.0,87.0,84.0,60.0
171,midfield,11.0,83.0,68.0,88.0,59.0,86.0,38.0,80.0,82.0,85.0,83.0,53.0
172,midfield,9.0,75.0,73.0,83.0,57.0,90.0,68.0,82.0,85.0,79.0,82.0,52.0
173,midfield,9.0,75.0,79.0,71.0,59.0,74.0,68.0,84.0,83.0,88.0,88.0,53.0
174,front,15.0,72.0,83.0,58.0,74.0,72.0,72.0,81.0,82.0,70.0,78.0,80.0
175,back,9.0,75.0,39.0,50.0,86.0,78.0,90.0,46.0,77.0,52.0,57.0,81.0
176,midfield,9.0,72.0,62.0,88.0,65.0,82.0,63.0,79.0,70.0,81.0,88.0,42.0
177,goalkeeper,84.0,63.0,11.0,55.0,51.0,37.0,71.0,25.0,79.0,41.0,10.0,17.0
178,midfield,9.0,73.0,71.0,84.0,63.0,77.0,77.0,81.0,82.0,76.0,80.0,74.0
179,front,14.0,74.0,81.0,74.0,68.0,68.0,64.0,85.0,80.0,87.0,87.0,46.0
180,goalkeeper,83.0,69.0,19.0,68.0,70.0,45.0,72.0,31.0,83.0,55.0,14.0,15.0
181,back,14.0,75.0,34.0,41.0,77.0,58.0,87.0,43.0,82.0,61.0,47.0,85.0
182,back,7.0,80.0,29.0,67.0,77.0,79.0,75.0,46.0,82.0,61.0,69.0,83.0
183,midfield,15.0,76.0,70.0,84.0,56.0,77.0,50.0,78.0,78.0,86.0,88.0,50.0
184,midfield,11.0,83.0,78.0,84.0,66.0,69.0,75.0,86.0,83.0,80.0,88.0,65.0
185,midfield,12.0,82.0,71.0,79.0,53.0,72.0,38.0,83.0,74.0,89.0,90.0,44.0
186,midfield,9.0,80.0,78.0,74.0,59.0,75.0,77.0,79.0,76.0,94.0,88.0,50.0
187,midfield,9.0,84.0,61.0,73.0,89.0,83.0,67.0,76.0,76.0,58.0,76.0,78.0
188,back,12.0,73.0,32.0,53.0,79.0,78.0,81.0,54.0,79.0,60.0,55.0,82.0
189,goalkeeper,83.0,20.0,13.0,55.0,67.0,31.0,64.0,22.0,80.0,50.0,20.0,14.0
190,midfield,13.0,79.0,72.0,79.0,77.0,95.0,70.0,70.0,86.0,82.0,82.0,59.0
191,back,11.0,85.0,37.0,65.0,83.0,81.0,68.0,75.0,81.0,33.0,65.0,80.0
192,back,14.0,76.0,63.0,83.0,69.0,85.0,47.0,65.0,80.0,69.0,78.0,72.0
193,front,7.0,77.0,78.0,74.0,72.0,78.0,78.0,83.0,80.0,84.0,82.0,80.0
194,midfield,15.0,85.0,76.0,85.0,59.0,86.0,67.0,75.0,81.0,77.0,80.0,45.0
195,midfield,13.0,83.0,63.0,82.0,47.0,88.0,67.0,69.0,84.0,91.0,86.0,34.0
196,goalkeeper,85.0,64.0,15.0,42.0,63.0,39.0,80.0,28.0,79.0,59.0,19.0,14.0
197,goalkeeper,82.0,52.0,11.0,41.0,69.0,39.0,73.0,21.0,81.0,45.0,19.0,16.0
198,midfield,8.0,80.0,50.0,67.0,70.0,89.0,87.0,80.0,81.0,80.0,75.0,69.0
199,midfield,5.0,76.0,74.0,84.0,62.0,83.0,69.0,85.0,79.0,87.0,84.0,53.0
200,back,9.0,76.0,68.0,69.0,76.0,90.0,71.0,84.0,84.0,64.0,79.0,83.0
201,goalkeeper,82.0,65.0,10.0,52.0,80.0,32.0,75.0,24.0,78.0,42.0,11.0,13.0
202,back,10.0,79.0,27.0,23.0,90.0,67.0,81.0,57.0,78.0,34.0,51.0,85.0
203,midfield,7.0,85.0,68.0,79.0,81.0,79.0,53.0,81.0,83.0,65.0,75.0,68.0
204,front,6.0,81.0,87.0,68.0,92.0,82.0,51.0,82.0,85.0,32.0,68.0,94.0
205,midfield,12.0,75.0,76.0,83.0,38.0,76.0,64.0,80.0,81.0,86.0,78.0,54.0
206,front,2.0,81.0,85.0,74.0,86.0,66.0,74.0,89.0,68.0,71.0,81.0,67.0
207,back,10.0,79.0,48.0,69.0,81.0,85.0,76.0,80.0,83.0,65.0,68.0,72.0
208,midfield,16.0,82.0,79.0,80.0,74.0,82.0,61.0,78.0,81.0,85.0,84.0,59.0
209,back,11.0,77.0,55.0,69.0,79.0,66.0,78.0,79.0,75.0,69.0,66.0,81.0
210,goalkeeper,83.0,61.0,11.0,42.0,79.0,32.0,72.0,24.0,83.0,39.0,15.0,15.0
211,midfield,9.0,87.0,78.0,85.0,37.0,71.0,70.0,75.0,85.0,84.0,82.0,56.0
212,goalkeeper,81.0,63.0,11.0,42.0,77.0,32.0,71.0,25.0,77.0,55.0,12.0,23.0
213,goalkeeper,85.0,66.0,12.0,64.0,77.0,45.0,79.0,38.0,80.0,61.0,20.0,11.0
214,goalkeeper,78.0,57.0,13.0,58.0,68.0,45.0,73.0,23.0,80.0,55.0,15.0,10.0
215,midfield,5.0,80.0,43.0,75.0,84.0,74.0,85.0,76.0,83.0,53.0,60.0,87.0
216,back,12.0,83.0,59.0,76.0,76.0,86.0,77.0,74.0,83.0,65.0,72.0,78.0
217,midfield,10.0,86.0,62.0,81.0,67.0,80.0,82.0,77.0,82.0,78.0,77.0,72.0
218,goalkeeper,86.0,64.0,13.0,55.0,61.0,31.0,74.0,24.0,80.0,52.0,15.0,13.0
219,midfield,6.0,92.0,72.0,91.0,61.0,56.0,63.0,77.0,81.0,62.0,79.0,74.0
220,midfield,16.0,90.0,66.0,80.0,89.0,70.0,75.0,81.0,83.0,79.0,89.0,70.0
221,midfield,15.0,85.0,74.0,84.0,60.0,58.0,34.0,75.0,83.0,84.0,84.0,41.0
222,goalkeeper,79.0,55.0,13.0,37.0,70.0,31.0,59.0,21.0,76.0,35.0,11.0,16.0
223,midfield,10.0,87.0,50.0,71.0,81.0,74.0,77.0,81.0,80.0,64.0,64.0,81.0
224,goalkeeper,80.0,64.0,14.0,65.0,72.0,34.0,73.0,24.0,82.0,50.0,10.0,13.0
225,goalkeeper,85.0,39.0,16.0,25.0,68.0,20.0,36.0,21.0,78.0,39.0,12.0,14.0
226,back,12.0,77.0,53.0,63.0,87.0,74.0,80.0,79.0,77.0,56.0,65.0,81.0
227,midfield,10.0,78.0,64.0,83.0,75.0,86.0,69.0,70.0,79.0,69.0,77.0,75.0
228,midfield,6.0,84.0,72.0,82.0,62.0,78.0,83.0,76.0,81.0,79.0,82.0,58.0
229,goalkeeper,88.0,68.0,12.0,50.0,72.0,34.0,72.0,24.0,74.0,64.0,28.0,12.0
230,midfield,15.0,81.0,53.0,77.0,68.0,93.0,43.0,60.0,80.0,72.0,77.0,70.0
231,back,18.0,70.0,56.0,50.0,79.0,76.0,91.0,74.0,78.0,61.0,60.0,83.0
232,goalkeeper,79.0,67.0,8.0,71.0,79.0,29.0,67.0,21.0,82.0,34.0,9.0,11.0
233,midfield,12.0,85.0,66.0,79.0,48.0,87.0,65.0,72.0,83.0,94.0,85.0,51.0
234,midfield,9.0,80.0,75.0,77.0,62.0,81.0,65.0,81.0,80.0,85.0,86.0,60.0
235,midfield,5.0,78.0,50.0,74.0,66.0,85.0,52.0,78.0,79.0,83.0,78.0,55.0
236,midfield,8.0,78.0,75.0,83.0,64.0,74.0,58.0,85.0,80.0,92.0,85.0,57.0
237,goalkeeper,81.0,62.0,19.0,62.0,52.0,42.0,68.0,21.0,74.0,40.0,18.0,15.0
238,back,10.0,76.0,42.0,61.0,76.0,82.0,83.0,62.0,80.0,70.0,65.0,83.0
239,back,10.0,74.0,23.0,60.0,80.0,73.0,79.0,58.0,79.0,62.0,60.0,78.0
240,midfield,8.0,79.0,86.0,66.0,68.0,76.0,69.0,82.0,81.0,82.0,87.0,69.0
241,back,11.0,73.0,57.0,74.0,66.0,89.0,59.0,67.0,81.0,78.0,76.0,63.0
242,midfield,6.0,71.0,51.0,76.0,75.0,88.0,65.0,74.0,72.0,67.0,66.0,46.0
243,midfield,14.0,83.0,70.0,80.0,63.0,80.0,49.0,82.0,80.0,85.0,86.0,50.0
244,midfield,11.0,69.0,78.0,83.0,69.0,73.0,63.0,80.0,80.0,82.0,87.0,42.0
245,back,5.0,70.0,33.0,50.0,79.0,67.0,81.0,58.0,78.0,59.0,64.0,80.0
246,midfield,13.0,71.0,77.0,81.0,50.0,55.0,63.0,78.0,82.0,83.0,85.0,43.0
247,back,6.0,77.0,58.0,74.0,66.0,89.0,73.0,80.0,82.0,78.0,84.0,64.0
248,back,9.0,76.0,30.0,40.0,81.0,75.0,78.0,64.0,78.0,60.0,65.0,76.0
249,midfield,11.0,75.0,63.0,73.0,81.0,87.0,84.0,79.0,77.0,72.0,78.0,68.0
250,midfield,7.0,82.0,74.0,76.0,61.0,87.0,83.0,76.0,82.0,84.0,79.0,55.0
251,front,15.0,82.0,85.0,72.0,67.0,86.0,76.0,85.0,88.0,75.0,76.0,69.0
252,front,13.0,75.0,88.0,61.0,84.0,83.0,83.0,81.0,76.0,79.0,78.0,84.0
253,midfield,13.0,77.0,70.0,83.0,62.0,74.0,53.0,73.0,82.0,81.0,82.0,45.0
254,midfield,14.0,84.0,78.0,82.0,53.0,87.0,63.0,80.0,83.0,86.0,83.0,64.0
255,midfield,14.0,80.0,74.0,84.0,79.0,61.0,44.0,76.0,78.0,69.0,86.0,68.0
256,midfield,8.0,78.0,80.0,73.0,58.0,84.0,69.0,79.0,80.0,93.0,82.0,45.0
257,back,14.0,72.0,27.0,57.0,82.0,60.0,73.0,70.0,82.0,59.0,59.0,80.0
